<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.SBER:SMAL,1,20230125,223700,152.7700000,152.7700000,152.7700000,152.7700000,1
MOEX.SBER:SMAL,1,20230126,100500,151.5100000,151.5100000,151.1300000,151.1300000,8
MOEX.SBER:SMAL,1,20230126,101600,153.0000000,153.0000000,153.0000000,153.0000000,1
MOEX.SBER:SMAL,1,20230126,103400,153.0000000,153.0000000,153.0000000,153.0000000,8
MOEX.SBER:SMAL,1,20230126,105200,154.0000000,154.0000000,154.0000000,154.0000000,2
MOEX.SBER:SMAL,1,20230126,105600,151.6400000,151.6400000,151.6300000,151.6300000,6
MOEX.SBER:SMAL,1,20230126,112400,154.0000000,154.0000000,154.0000000,154.0000000,7
MOEX.SBER:SMAL,1,20230126,112500,154.0000000,154.0000000,154.0000000,154.0000000,2
MOEX.SBER:SMAL,1,20230126,113900,151.6400000,151.6400000,151.6400000,151.6400000,1
MOEX.SBER:SMAL,1,20230126,114300,151.6500000,151.6500000,151.6400000,151.6400000,6
MOEX.SBER:SMAL,1,20230126,115800,151.6500000,151.6500000,151.6400000,151.6400000,4
MOEX.SBER:SMAL,1,20230126,120400,151.6500000,151.6500000,151.6400000,151.6400000,6
MOEX.SBER:SMAL,1,20230126,170100,153.6000000,154.4700000,151.7200000,151.7200000,10
MOEX.SBER:SMAL,1,20230126,170800,151.7600000,151.7600000,151.7100000,151.7100000,8
MOEX.SBER:SMAL,1,20230126,182000,151.6500000,151.6500000,151.1200000,151.1200000,60
MOEX.SBER:SMAL,1,20230126,202800,154.2500000,154.2500000,154.2500000,154.2500000,2
MOEX.SBER:SMAL,1,20230126,212600,154.2500000,154.2500000,154.2500000,154.2500000,1
MOEX.SBER:SMAL,1,20230127,100100,155.2400000,155.2400000,155.2400000,155.2400000,1
MOEX.SBER:SMAL,1,20230127,102600,150.7900000,150.7900000,150.7900000,150.7900000,4
MOEX.SBER:SMAL,1,20230127,105400,152.0000000,152.0000000,152.0000000,152.0000000,9
MOEX.SBER:SMAL,1,20230127,105500,150.8100000,150.8100000,150.8100000,150.8100000,8
MOEX.SBER:SMAL,1,20230127,111500,150.8300000,150.8300000,150.8300000,150.8300000,2
MOEX.SBER:SMAL,1,20230127,121100,150.9300000,150.9300000,150.9300000,150.9300000,1
MOEX.SBER:SMAL,1,20230127,133900,151.7900000,151.7900000,151.7900000,151.7900000,6
MOEX.SBER:SMAL,1,20230127,140500,151.8000000,151.8000000,151.8000000,151.8000000,4
MOEX.SBER:SMAL,1,20230127,142900,151.8300000,151.8300000,151.8300000,151.8300000,8
MOEX.SBER:SMAL,1,20230127,180900,153.0000000,153.0000000,153.0000000,153.0000000,3
MOEX.SBER:SMAL,1,20230127,181800,153.0000000,153.0000000,152.2300000,152.2300000,6
MOEX.SBER:SMAL,1,20230127,182300,152.2300000,152.2300000,152.0000000,152.0000000,60
MOEX.SBER:SMAL,1,20230127,233500,153.2500000,153.9700000,153.2500000,153.9700000,5
MOEX.SBER:SMAL,1,20230127,234900,153.0000000,153.0000000,153.0000000,153.0000000,1
MOEX.SBER:SMAL,1,20230130,102300,151.2800000,151.2800000,151.2800000,151.2800000,8
MOEX.SBER:SMAL,1,20230130,102900,151.3100000,151.3100000,151.3100000,151.3100000,6
MOEX.SBER:SMAL,1,20230130,123200,152.3200000,152.3200000,152.3200000,152.3200000,4
MOEX.SBER:SMAL,1,20230130,123300,152.3200000,152.3200000,152.3200000,152.3200000,4
MOEX.SBER:SMAL,1,20230130,125700,152.3200000,152.3200000,152.3200000,152.3200000,2
MOEX.SBER:SMAL,1,20230130,131100,152.3000000,152.3000000,152.0200000,152.0200000,5
MOEX.SBER:SMAL,1,20230130,162200,152.8000000,152.8000000,152.8000000,152.8000000,1
MOEX.SBER:SMAL,1,20230130,170400,152.0200000,152.0200000,152.0200000,152.0200000,2
MOEX.SBER:SMAL,1,20230130,170700,152.8100000,153.0000000,152.8100000,153.0000000,10
MOEX.SBER:SMAL,1,20230130,181000,152.0900000,152.0900000,152.0900000,152.0900000,6
MOEX.SBER:SMAL,1,20230130,183100,153.8800000,153.8800000,153.8800000,153.8800000,1
MOEX.SBER:SMAL,1,20230130,210500,153.4500000,153.4500000,153.4500000,153.4500000,6
MOEX.SBER:SMAL,1,20230131,104200,155.0000000,155.0000000,155.0000000,155.0000000,1
MOEX.SBER:SMAL,1,20230131,110200,155.3000000,155.3000000,155.3000000,155.3000000,8
MOEX.SBER:SMAL,1,20230131,122100,154.0200000,154.0200000,154.0000000,154.0000000,2
MOEX.SBER:SMAL,1,20230131,124700,153.9900000,153.9900000,153.9000000,153.9000000,6
MOEX.SBER:SMAL,1,20230131,125800,154.5000000,154.5000000,154.5000000,154.5000000,1
MOEX.SBER:SMAL,1,20230131,131000,155.3500000,155.3500000,155.3500000,155.3500000,1
MOEX.SBER:SMAL,1,20230131,144000,155.3100000,155.3100000,155.3100000,155.3100000,1
MOEX.SBER:SMAL,1,20230131,162200,155.3200000,155.4000000,155.3200000,155.4000000,5
MOEX.SBER:SMAL,1,20230131,162800,154.0300000,154.0300000,154.0300000,154.0300000,2
MOEX.SBER:SMAL,1,20230131,163700,155.4000000,155.4000000,155.4000000,155.4000000,1
MOEX.SBER:SMAL,1,20230131,165800,155.4000000,155.4500000,155.4000000,155.4500000,3
MOEX.SBER:SMAL,1,20230131,170200,155.8900000,155.9000000,155.8900000,155.9000000,9
MOEX.SBER:SMAL,1,20230131,170300,155.9000000,155.9000000,155.9000000,155.9000000,1
MOEX.SBER:SMAL,1,20230131,170700,154.1000000,154.1000000,154.0300000,154.0300000,3
